method,store,variable,source_id,experiment_id,msft_val,osn_data_val,osn_rechunked_val,classification
GARD-MV,ScenarioMIP.MRI.MRI-ESM2-0.ssp245.r1i1p1f1.day.GARD-MV.tasmax.zarr,tasmax,MRI-ESM2-0,ssp245,300.12335205078125,300.12335205078125,300.12335205078125,ok
GARD-SV,CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.day.GARD-SV.tasmax.zarr,tasmax,BCC-CSM2-MR,historical,299.3970031738281,299.3970031738281,299.3970031738281,ok
GARD-SV,CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.day.GARD-SV.tasmin.zarr,tasmin,BCC-CSM2-MR,historical,298.0513916015625,298.0513916015625,nan,bad_rechunk
GARD-SV,CMIP.CCCma.CanESM5.historical.r1i1p1f1.day.GARD-SV.pr.zarr,pr,CanESM5,historical,0.028782112523913383,0.028782112523913383,0.028782112523913383,ok
GARD-SV,CMIP.CCCma.CanESM5.historical.r1i1p1f1.day.GARD-SV.tasmax.zarr,tasmax,CanESM5,historical,298.66510009765625,298.66510009765625,nan,bad_rechunk
GARD-SV,CMIP.CCCma.CanESM5.historical.r1i1p1f1.day.GARD-SV.tasmin.zarr,tasmin,CanESM5,historical,297.988525390625,297.988525390625,nan,bad_rechunk
GARD-SV,CMIP.MIROC.MIROC6.historical.r1i1p1f1.day.GARD-SV.pr.zarr,pr,MIROC6,historical,3.559882640838623,3.559882640838623,3.559882640838623,ok
GARD-SV,CMIP.MIROC.MIROC6.historical.r1i1p1f1.day.GARD-SV.tasmax.zarr,tasmax,MIROC6,historical,299.5069274902344,299.5069274902344,nan,bad_rechunk
GARD-SV,CMIP.MIROC.MIROC6.historical.r1i1p1f1.day.GARD-SV.tasmin.zarr,tasmin,MIROC6,historical,298.0185241699219,298.0185241699219,nan,bad_rechunk
GARD-SV,CMIP.MPI-M.MPI-ESM1-2-HR.historical.r1i1p1f1.day.GARD-SV.pr.zarr,pr,MPI-ESM1-2-HR,historical,0.7455416917800903,0.7455416917800903,0.7455416917800903,ok
GARD-SV,CMIP.MPI-M.MPI-ESM1-2-HR.historical.r1i1p1f1.day.GARD-SV.tasmax.zarr,tasmax,MPI-ESM1-2-HR,historical,299.6739501953125,299.6739501953125,nan,bad_rechunk
GARD-SV,CMIP.MPI-M.MPI-ESM1-2-HR.historical.r1i1p1f1.day.GARD-SV.tasmin.zarr,tasmin,MPI-ESM1-2-HR,historical,298.22259521484375,298.22259521484375,nan,bad_rechunk
GARD-SV,CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.GARD-SV.pr.zarr,pr,MRI-ESM2-0,historical,6.629247665405273,6.629247665405273,6.629247665405273,ok
GARD-SV,CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.GARD-SV.tasmax.zarr,tasmax,MRI-ESM2-0,historical,300.5438232421875,300.5438232421875,nan,bad_rechunk
GARD-SV,CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.GARD-SV.tasmin.zarr,tasmin,MRI-ESM2-0,historical,298.9552917480469,298.9552917480469,nan,bad_rechunk
GARD-SV,ScenarioMIP.BCC.BCC-CSM2-MR.ssp245.r1i1p1f1.day.GARD-SV.tasmax.zarr,tasmax,BCC-CSM2-MR,ssp245,299.60498046875,299.60498046875,nan,bad_rechunk
GARD-SV,ScenarioMIP.BCC.BCC-CSM2-MR.ssp245.r1i1p1f1.day.GARD-SV.tasmin.zarr,tasmin,BCC-CSM2-MR,ssp245,298.1936950683594,298.1936950683594,nan,bad_rechunk
GARD-SV,ScenarioMIP.BCC.BCC-CSM2-MR.ssp370.r1i1p1f1.day.GARD-SV.tasmax.zarr,tasmax,BCC-CSM2-MR,ssp370,299.8440856933594,299.8440856933594,nan,bad_rechunk
GARD-SV,ScenarioMIP.BCC.BCC-CSM2-MR.ssp370.r1i1p1f1.day.GARD-SV.tasmin.zarr,tasmin,BCC-CSM2-MR,ssp370,298.3584289550781,298.3584289550781,nan,bad_rechunk
GARD-SV,ScenarioMIP.BCC.BCC-CSM2-MR.ssp585.r1i1p1f1.day.GARD-SV.tasmax.zarr,tasmax,BCC-CSM2-MR,ssp585,300.1481018066406,300.1481018066406,nan,bad_rechunk
GARD-SV,ScenarioMIP.BCC.BCC-CSM2-MR.ssp585.r1i1p1f1.day.GARD-SV.tasmin.zarr,tasmin,BCC-CSM2-MR,ssp585,298.5592041015625,298.5592041015625,nan,bad_rechunk
GARD-SV,ScenarioMIP.CCCma.CanESM5.ssp245.r1i1p1f1.day.GARD-SV.pr.zarr,pr,CanESM5,ssp245,5.76223087310791,5.76223087310791,5.76223087310791,ok
GARD-SV,ScenarioMIP.CCCma.CanESM5.ssp245.r1i1p1f1.day.GARD-SV.tasmax.zarr,tasmax,CanESM5,ssp245,300.1632995605469,300.1632995605469,nan,bad_rechunk
GARD-SV,ScenarioMIP.CCCma.CanESM5.ssp245.r1i1p1f1.day.GARD-SV.tasmin.zarr,tasmin,CanESM5,ssp245,298.71771240234375,298.71771240234375,nan,bad_rechunk
